"統計名：","通信利用動向調査 世帯全体編"
"表番号："
"表題：","Ｆ：世帯年収 世帯年収 平成18年以降"
"実施年月：","-","-"

"***","数字が得られないもの"
"******","******"
"**********","**********"
"-","該当数がない場合"

"","","","","","","/世帯年収_2 コード","100","120","130","140","150","160","170","190","200","210"
"表章項目 コード","表章項目","時間軸(年次) コード","時間軸(年次)","世帯年収_1 コード","世帯年収_1","/世帯年収_2","合計","200～400万円未満","200万円未満","400～600万円未満","600～800万円未満","800～1000万円未満","1000～1500万円未満","1500～2000万円未満","2000万円以上","不明"
"00200","回答数","2010000000","2010年","170","1,000～1,500万円未満","","***","-","-","-","-","-","1,492","-","-","-"
"00200","回答数","2010000000","2010年","190","1,500～2,000万円未満","","***","-","-","-","-","-","-","385","-","-"
"00200","回答数","2010000000","2010年","200","2,000万円以上","","***","-","-","-","-","-","-","-","269","-"
"00200","回答数","2010000000","2010年","210","不明","","***","-","-","-","-","-","-","-","-","1,086"
"00200","回答数","2009000000","2009年","100","合計","","***","1,129","378","996","840","552","371","92","65","123"
"00200","回答数","2009000000","2009年","120","200万円未満","","***","-","378","-","-","-","-","-","-","-"
"00200","回答数","2009000000","2009年","130","200～400万円未満","","***","1,129","-","-","-","-","-","-","-","-"
"00200","回答数","2009000000","2009年","140","400～600万円未満","","***","-","-","996","-","-","-","-","-","-"
"00200","回答数","2009000000","2009年","150","600～800万円未満","","***","-","-","-","840","-","-","-","-","-"
"00200","回答数","2009000000","2009年","160","800～1,000万円未満","","***","-","-","-","-","552","-","-","-","-"
"00200","回答数","2009000000","2009年","170","1,000～1,500万円未満","","***","-","-","-","-","-","371","-","-","-"
"00200","回答数","2009000000","2009年","190","1,500～2,000万円未満","","***","-","-","-","-","-","-","92","-","-"
"00200","回答数","2009000000","2009年","200","2,000万円以上","","***","-","-","-","-","-","-","-","65","-"
"00200","回答数","2009000000","2009年","210","不明","","***","-","-","-","-","-","-","-","-","123"
"00200","回答数","2008000000","2008年","100","合計","","***","950","378","996","913","557","466","96","57","102"
"00200","回答数","2008000000","2008年","120","200万円未満","","***","-","378","-","-","-","-","-","-","-"
"00200","回答数","2008000000","2008年","130","200～400万円未満","","***","950","-","-","-","-","-","-","-","-"
"00200","回答数","2008000000","2008年","140","400～600万円未満","","***","-","-","996","-","-","-","-","-","-"
"00200","回答数","2008000000","2008年","150","600～800万円未満","","***","-","-","-","913","-","-","-","-","-"
"00200","回答数","2008000000","2008年","160","800～1,000万円未満","","***","-","-","-","-","557","-","-","-","-"
"00200","回答数","2008000000","2008年","170","1,000～1,500万円未満","","***","-","-","-","-","-","466","-","-","-"
"00200","回答数","2008000000","2008年","190","1,500～2,000万円未満","","***","-","-","-","-","-","-","96","-","-"
"00200","回答数","2008000000","2008年","200","2,000万円以上","","***","-","-","-","-","-","-","-","57","-"
"00200","回答数","2008000000","2008年","210","不明","","***","-","-","-","-","-","-","-","-","102"
"00200","回答数","2007000000","2007年","100","合計","","***","751","259","817","755","423","376","88","103","68"
"00200","回答数","2007000000","2007年","120","200万円未満","","***","-","259","-","-","-","-","-","-","-"
"00200","回答数","2007000000","2007年","130","200～400万円未満","","***","751","-","-","-","-","-","-","-","-"
"00200","回答数","2007000000","2007年","140","400～600万円未満","","***","-","-","817","-","-","-","-","-","-"
"00200","回答数","2007000000","2007年","150","600～800万円未満","","***","-","-","-","755","-","-","-","-","-"
"00200","回答数","2007000000","2007年","160","800～1,000万円未満","","***","-","-","-","-","423","-","-","-","-"
